CumEpisodes,AvgReward,SuccessRate,ElimRate
1000,70.77,98.5,98.7
2000,75.25,99.9,99.7
3000,73.23,100.0,98.8
4000,73.6,100.0,99.8
5000,72.73,100.0,100.0
6000,73.21,100.0,99.8
7000,75.48,100.0,99.8
8000,74.7,100.0,99.9
9000,75.42,100.0,100.0
10000,75.63,100.0,99.8
11000,74.38,100.0,99.4
12000,75.54,100.0,99.6
13000,76.6,100.0,99.7
14000,74.61,100.0,100.0
15000,75.01,100.0,99.8
16000,75.5,100.0,99.5
17000,75.01,100.0,99.9
18000,76.35,100.0,99.6
19000,76.14,100.0,100.0
20000,76.15,100.0,99.9
21000,75.57,100.0,99.7
22000,77.06,100.0,99.9
23000,76.97,100.0,99.9
24000,75.5,100.0,100.0
25000,74.93,100.0,99.6
26000,75.78,100.0,99.9
27000,75.7,100.0,100.0
28000,75.91,100.0,99.9
29000,75.81,100.0,100.0
30000,74.58,100.0,100.0
31000,75.94,100.0,100.0
32000,75.81,100.0,100.0
33000,75.44,100.0,99.8
34000,76.69,100.0,100.0
35000,75.13,100.0,100.0
36000,74.89,100.0,99.9
37000,75.65,100.0,99.8
38000,75.76,100.0,100.0
39000,75.53,100.0,100.0
40000,74.01,100.0,100.0
41000,75.87,100.0,99.9
42000,75.87,100.0,100.0
43000,73.77,100.0,99.9
44000,74.96,100.0,100.0
45000,75.93,100.0,99.8
46000,76.28,100.0,100.0
47000,74.18,100.0,100.0
48000,74.91,100.0,99.8
49000,75.31,100.0,99.9
50000,74.95,100.0,100.0
51000,77.12,100.0,99.8
52000,75.13,100.0,99.9
53000,75.2,100.0,100.0
54000,76.76,100.0,99.9
55000,75.08,100.0,100.0
56000,75.12,100.0,99.9
57000,75.1,100.0,99.8
58000,75.68,100.0,99.9
59000,74.91,100.0,100.0
60000,75.88,100.0,99.9
61000,76.68,100.0,99.9
62000,75.29,100.0,100.0
63000,74.67,100.0,99.9
64000,75.98,100.0,99.8
65000,76.68,100.0,99.9
66000,76.52,100.0,99.9
67000,75.92,100.0,99.9
68000,75.73,100.0,100.0
69000,76.33,100.0,99.9
70000,75.78,100.0,99.9
71000,75.36,100.0,100.0
72000,74.73,100.0,100.0
73000,75.53,100.0,100.0
74000,75.61,100.0,99.8
75000,75.93,100.0,100.0
76000,77.73,100.0,99.9
77000,75.78,100.0,100.0
78000,75.72,100.0,100.0
79000,75.75,100.0,100.0
80000,74.94,100.0,99.8
81000,76.55,100.0,99.9
82000,75.89,100.0,99.9
83000,75.93,100.0,99.9
84000,75.88,100.0,100.0
85000,74.92,100.0,99.9
86000,76.92,100.0,99.6
87000,75.77,100.0,100.0
88000,74.76,100.0,99.9
89000,75.47,100.0,99.9
90000,75.62,100.0,99.7
91000,75.95,100.0,100.0
92000,75.38,100.0,100.0
93000,76.91,100.0,100.0
94000,76.7,100.0,100.0
95000,77.21,100.0,99.9
96000,74.99,100.0,99.9
97000,73.4,100.0,99.7
98000,76.37,100.0,99.9
99000,74.54,100.0,99.8
100000,77.13,100.0,99.9
